"","slopeBase"
"595","6.76484412512632"
"637","9.65784281274832"
"647","12.0744933179911"
"679","7.03348347553708"
"680","8.2275362225397"
"689","19.7977650354208"
"690","19.7154022254212"
"722","14.893477053769"
"732","9.33040299199101"
"774","4.01525759474638"
"816","12.5813528307564"
"858","17.2301520340452"
"900","26.8091335656845"
"942","22.9146705462659"
"984","23.7703076770381"
"1026","54.6959091645117"
"1068","52.2256532742722"
"1100","19.9376679959456"
"1110","46.3426089154831"
"1152","38.1480946370019"
"1194","28.5072048795997"
"1363","20.5866068522881"
"1522","19.3698859156742"
"1564","15.9385753493921"
"1616","31.7376907182258"
"1648","13.8315817769022"
"1690","17.8492325243347"
"1732","19.1735754816624"
"1742","40.9716664177148"
"1784","34.5172471469329"
"1815","4.71891182698577"
"1816","52.1875616630783"
"1857","4.03742493014692"
"1858","31.8642037045335"
"1909","41.8976118750912"
"1910","23.5936450085606"
"1980","3.71361497626325"
"1981","6.3146008391895"
"2023","7.67899334291265"
"2036","26.5722026287111"
"2065","9.42197565360492"
"2066","6.12400994566725"
"2078","23.186372854491"
"2079","16.0811432981568"
"2108","5.70421429120912"
"2120","19.4896141274348"
"2150","5.89933838557984"
"2162","13.1694755402018"
"2163","24.191093393145"
"2192","7.4667971620117"
"2205","21.5366729648656"
"2206","10.8915160280245"
"2234","10.9661220123835"
"2235","13.5893988331894"
"2247","16.3449596870362"
"2248","23.5888602967044"
"2277","15.5498388796879"
"2290","26.5998551767665"
"2319","26.2727484763573"
"2320","29.534874353544"
"2332","24.8510861266189"
"2333","37.9425597475688"
"2362","35.0605839797472"
"2375","24.428312133932"
"2417","30.8704497701702"
"2459","30.6622363201214"
"2460","27.2447406690052"
"2488","9.48081709542084"
"2502","27.7148352219397"
"2530","13.7305440849811"
"2531","16.5699854346033"
"2544","24.2705502892528"
"2545","16.4241404803306"
"2572","29.9508493575544"
"2573","22.0682551493178"
"2587","27.575862251245"
"2615","32.1319064425869"
"2629","26.1977942781891"
"2657","39.2395533455227"
"2671","29.182591843833"
"2672","17.3271977295223"
"2699","37.6916538002377"
"2714","21.9548935734035"
"2740","32.0833361149481"
"2741","33.4899818320983"
"2756","14.9200990901776"
"2757","14.7739115361756"
"2763","0.857771417289102"
"2764","3.15156596828952"
"2765","4.45412137641801"
"2766","6.71633494182209"
"2767","8.76610389176638"
"2798","6.91437787511331"
"2799","17.2781495699878"
"2805","4.89697062003305"
"2806","1.60036106018735"
"2809","10.0267134040086"
"2810","4.15828743709592"
"2825","14.8001219839314"
"2841","12.9134394599951"
"2847","26.5330493008535"
"2848","18.9517153516819"
"2849","30.9780835584914"
"2851","12.5984681911492"
"2852","14.8290699707309"
"2866","28.1405371871244"
"2867","15.8360563287363"
"2883","6.39736889890118"
"2890","22.9494803741213"
"2891","14.6300925298193"
"2893","6.44769885428254"
"2894","5.50748301609972"
"2908","26.018528617853"
"2909","13.4626639438769"
"2925","20.218437019235"
"2933","12.9121628217286"
"2935","7.05518402318219"
"2936","3.02528080515517"
"2949","5.14308139490449"
"2950","8.89212229797713"
"2967","19.1535924871604"
"2975","13.5786264260095"
"2978","4.32587757401988"
"2979","6.04784383928926"
"2991","7.63621279369492"
"3009","16.2542666729295"
"3010","13.4240199380001"
"3017","11.6776412421598"
"3020","11.5494717436828"
"3021","5.64218522679451"
"3022","5.1399713453233"
"3033","6.18728134798866"
"3052","9.9377905558276"
"3053","5.66106669713693"
"3059","8.68653795990293"
"3064","5.0205130605636"
"3065","5.11490597000558"
"3075","6.6636195295998"
"3094","6.71310238622318"
"3095","5.48776697405678"
"3101","3.41162030388276"
"3102","5.44898959006156"
"3117","6.14082746983337"
"3137","4.47591521227543"
"3144","7.24914266399381"
"3159","9.64093295283634"
"3179","4.98142079315465"
"3180","1.8144434565036"
"3186","5.59936613917821"
"3201","12.6095523583489"
"3222","3.54372214584411"
"3223","2.97693204952096"
"3227","2.00648449340831"
"3228","3.10697223379539"
"3242","3.25614880743225"
"3243","4.98787437246356"
"3264","2.17693099307756"
"3265","1.69382173266325"
"3266","1.6214120273262"
"3269","2.8741282856478"
"3284","9.38268582531716"
"3285","13.4026899375635"
"3307","0.570289836147622"
"3308","2.23376025883418"
"3309","5.23146718241305"
"3310","3.54119972469819"
"3311","2.28849115087047"
"3325","13.4757242646881"
"3326","10.8642054758608"
"3366","8.6930746938723"
"3367","8.66943167366879"
"3408","7.88355055278692"
"3409","10.6175647870383"
"3488","1.94028687114297"
"3489","4.38303973844739"
"3490","6.75276145129301"
