"","slopeBase"
"28","5.41172986774448"
"29","7.49141408905044"
"30","15.6513378904731"
"31","12.0217573551047"
"47","7.90684862696548"
"48","10.9847524004874"
"49","4.49319435644721"
"50","8.00994713074527"
"65","14.2128345984937"
"66","15.0863126747834"
"67","3.78668803538863"
"68","6.46340870242673"
"69","3.53214679493995"
"83","10.7678061095711"
"84","15.1152574207517"
"86","11.9887707373621"
"87","8.88961516043649"
"88","6.22735802834191"
"89","9.0879460466378"
"90","5.98326623503513"
"91","6.15248607331487"
"102","8.85831837227589"
"103","29.8157362452606"
"104","4.81515210486422"
"105","3.56767357996711"
"107","14.5147809341651"
"108","13.4612454148821"
"109","12.1703360041885"
"110","12.7709550526128"
"113","7.9057097824573"
"119","12.098774042353"
"120","17.5902146338495"
"121","21.2561101229834"
"122","15.3832278991074"
"123","11.5044936411688"
"127","13.6385512903552"
"128","10.8064442522054"
"129","12.367462793502"
"130","10.4267408654056"
"131","12.0211262232932"
"132","13.3740406729575"
"137","30.1275159371447"
"138","17.9531101540032"
"139","20.1775604839908"
"140","12.2997071153326"
"141","3.05435586768728"
"142","7.36076209562368"
"145","20.2421914896091"
"146","12.921787701515"
"147","10.3813414876627"
"148","18.8798401967337"
"149","12.9553278647056"
"150","10.5419170951918"
"151","10.9678321840579"
"156","19.0771182523414"
"157","19.5957239662506"
"158","18.9430837345308"
"160","14.3171854007685"
"161","20.2817797032459"
"162","13.7935082439118"
"163","8.33187850485651"
"164","2.94214973416638"
"173","12.1583281299105"
"174","15.0816320544303"
"175","15.0041463833416"
"176","19.8028316065914"
"177","14.4899168603269"
"179","10.6077677448857"
"180","12.6358739051424"
"181","8.60597388690442"
"182","6.52031158186596"
"192","14.5383279350213"
"193","15.02787279134"
"194","13.1187388450071"
"195","7.86150220831679"
"212","6.98787555357484"
"213","7.86111269111662"
"215","5.41358926630003"
"216","2.94685223871658"
"231","5.75934204235975"
"232","7.97728238329094"
"233","3.86423778025329"
"234","6.9828743848714"
"235","1.52891730166925"
"236","4.01872516371484"
"237","4.39905437576724"
"241","6.47794336665773"
"242","7.2210850034339"
"250","5.38399659503885"
"251","6.17744139311771"
"252","9.85286386454237"
"254","9.58940607934333"
"255","4.4531302620295"
"256","2.16908950237625"
"260","4.07881003773357"
"272","12.0001136783701"
"273","8.3527006083674"
"274","2.5719985382372"
"277","2.40343462829524"
"278","2.91731452594534"
"279","3.59720592273134"
"289","1.63266246994785"
"290","4.91546331035129"
"291","12.6439943016711"
"296","5.34723345835525"
"308","0.717460048895428"
"309","0.843474912541558"
"310","4.77142229524081"
"311","6.08201666032243"
"314","4.01447048823354"
"315","2.83808312369989"
"328","1.57411793620586"
"329","4.45550063055413"
"330","8.19987279603775"
"333","6.44627676698546"
"347","1.50154633628305"
"348","4.10477702843993"
"349","5.4093714433797"
"350","7.41740476542986"
"351","4.32396562769229"
"352","9.04420201070545"
"367","1.08319019763805"
"368","6.76485861335241"
"370","9.77878817404776"
"371","3.11966410687305"
