"","slopeBase"
"9","1.90912865055566"
"43","1.77735726533846"
"47","2.2751685934427"
"48","3.25974375789431"
"49","4.15433190885573"
"65","4.64779964577548"
"66","5.89873644647342"
"67","4.549462450294"
"68","7.3550910471743"
"69","7.43164878967774"
"70","2.9533024312756"
"71","8.14136028200672"
"72","7.98089273894949"
"73","4.05836188663457"
"74","5.55428592722728"
"75","5.65706331091245"
"81","5.00423460287272"
"82","4.53742183252695"
"83","2.71263358070458"
"84","4.13292744794119"
"85","2.55172820626244"
"86","2.2097901476461"
"87","1.89114003302594"
"104","4.72888963885467"
"105","2.42351215623172"
"108","10.7876747565512"
"109","7.60878774986084"
"110","1.37144655192188"
"111","1.66955411290177"
"115","9.99091912640057"
"116","10.1312836185715"
"135","4.35020914042992"
"136","2.84184277747264"
"137","3.23517006044915"
"138","2.53042932876001"
"141","2.76013011588748"
"142","5.37571229990906"
"143","4.1780630073582"
"144","4.05980206671225"
"155","6.80472194144021"
"156","7.62041966348222"
"178","6.42218321100835"
"179","3.44687910516011"
"181","6.50642894751978"
"194","6.25990175234085"
"195","9.06539676379673"
"218","4.15802807995238"
"219","3.75955141137763"
"220","3.90586896580203"
"221","4.3112656978651"
"232","19.1669227039316"
"233","5.21365886913395"
"234","12.7897382112258"
"259","1.77659592695379"
"260","5.32812589913338"
"270","2.12062471171388"
"271","10.5981114174725"
"272","15.8276217886581"
"310","8.06358219187963"
"311","6.96983832834747"
"346","5.60450893205793"
"347","4.80430430306236"
"348","8.9236498460224"
"349","7.465814774896"
"350","5.59025074222764"
"351","2.70080694023092"
"384","6.71581053313169"
"385","3.51979678606194"
"386","2.15684583881719"
"387","5.4109511734534"
"389","7.76860974223412"
"390","6.79690602928889"
"424","5.43302982083003"
"464","6.21906742114583"
"465","6.58740151104285"
"500","2.34091494390688"
"501","3.29797577437556"
"502","4.17015794393837"
"503","5.35242143348506"
"505","6.22298350452857"
"539","3.93887141045994"
"540","4.26866816648652"
"543","3.95582457446479"
"578","3.64188345841373"
"579","4.32053418179228"
"592","12.1590408545746"
"593","8.87101185612225"
"618","3.87194414461662"
"619","3.610373871162"
"620","5.35917699321251"
"621","3.12433391717193"
"622","5.34905557262691"
"630","5.93033541153121"
"631","3.68891164744256"
"632","7.41377707144875"
"633","10.7244086412303"
"659","2.54951134161909"
"660","5.42697086435384"
"662","4.65454685527969"
"663","3.67394789661571"
"670","5.68719161312019"
"672","6.20694069709475"
"673","4.5865867938739"
"702","3.5302949949029"
"703","7.15331284015067"
"705","7.64345569910507"
"709","6.06766696203699"
"710","8.77878494620629"
"712","12.7458231958581"
"742","3.64585463106532"
"743","2.17483984068581"
"744","5.64730088694565"
"745","7.2789416933985"
"746","3.76036493880266"
"747","10.1702632565682"
"748","10.8720981798253"
"749","9.76856231904729"
"750","7.98652539710527"
"752","9.81771442995134"
"782","5.64828170483198"
"783","6.28423572878533"
"784","7.25927174632515"
"786","3.93561437067726"
"787","6.71896006527827"
"788","10.8720981798253"
"789","7.48201987726696"
"792","5.97942613056365"
"793","4.5705166537619"
"823","4.83604162933563"
"824","7.11901467690127"
"826","3.97434489009448"
"827","3.40302970874973"
"828","4.16314609214981"
"829","7.35408450506287"
"833","3.84086822878313"
"834","2.3120850997865"
"868","4.35384435928233"
"869","6.42470674922504"
"870","5.54043555855064"
"873","5.39274808571166"
"874","3.26223570616796"
"908","5.07108015796128"
"909","4.35667156772757"
"910","5.5704823072295"
"913","3.7189791754489"
"914","4.60793498642045"
"947","2.23383680027576"
"948","2.86271213093969"
"949","3.47100694058332"
"950","2.47604016952411"
"952","3.72593056618658"
"953","3.06399854244538"
"954","2.79179100815093"
"987","2.03045852402593"
"988","1.66708722355204"
"989","1.18647754322501"
"992","4.60939157660543"
"993","3.73884332718251"
"1026","2.7713875713926"
"1027","2.72843114020248"
"1028","1.84170171722516"
"1032","0.788968353069109"
"1033","1.59009563304806"
"1066","5.80577912054483"
"1067","3.7330040612053"
"1068","2.86750260484066"
"1072","1.36454745526368"
"1073","4.13631161444406"
"1113","5.40751381522425"
"1114","6.02582209983962"
"1115","6.54929135350006"
"1116","4.52707760872348"
"1117","9.18209246051968"
"1155","5.03380973145316"
"1156","9.62801099871642"
"1157","10.386683682662"
"1158","10.9354427466893"
"1198","12.8298258753065"
"1199","10.7302257698335"
"1200","7.14806626851228"
"1273","1.83664220941368"
"1274","3.14065324122863"
"1313","2.57840922414178"
"1314","2.56613199731198"
