"","slopeBase"
"34","29.7574385421881"
"35","21.0071132042224"
"128","31.811772737992"
"129","31.811772737992"
"153","25.2965521555673"
"154","26.4171956271119"
"158","31.811772737992"
"159","33.4545639509862"
"160","36.0849235468801"
"161","34.3021060609204"
"162","26.3122430398376"
"184","27.1632618366687"
"192","30.7420382428243"
"193","31.951315995986"
"194","34.0685066831871"
"195","15.5720751391631"
"196","29.4178198047614"
"197","31.4447651891066"
"198","16.3776285125101"
"199","18.9527600200062"
"209","2.88460450128397"
"213","6.93762590329986"
"214","10.2044255560082"
"226","30.5672184234301"
"227","32.1358886879309"
"228","25.2937884519059"
"229","17.7761767245327"
"230","13.7148028608089"
"239","4.58476798436196"
"243","7.2686021937585"
"260","15.8046346911439"
"261","20.3836457828712"
"262","23.9067800006335"
"263","23.9526581731767"
"264","10.4937980804888"
"269","4.52555480862261"
"271","24.1014888016935"
"272","21.6975340455123"
"273","25.641703577948"
"293","22.2850769232903"
"294","19.9231358782371"
"295","20.5908947502822"
"296","19.373723955043"
"299","4.91978077349887"
"300","3.77393996585448"
"326","22.9657855092663"
"327","29.5628321333146"
"328","11.4839717991418"
"329","9.49077228021299"
"330","6.39632808865562"
"332","26.041223418543"
"333","30.6835617237106"
"334","37.0703419898333"
"335","32.3535165608995"
"336","39.7252978901428"
"337","25.6921874258941"
"338","30.7036627613782"
"339","30.7352829912501"
"369","29.2994417017428"
"370","24.8116030199302"
"371","29.8525066885356"
"372","25.8974572719424"
"373","36.8405480783164"
"403","32.8980469753341"
"404","30.7135851270885"
"405","31.5462710121363"
"435","32.4159447999892"
"436","30.3227486119321"
"437","29.1324831117333"
"467","28.1288193214601"
"468","22.6700637755606"
"469","22.6663846281776"
"499","27.6033402750707"
"500","32.5363727322675"
"501","32.5532696082823"
"530","34.1695559112807"
"531","30.3799495549036"
"561","40.575161274704"
"562","30.8400505209084"
"592","32.5664745367373"
"622","28.3501825328007"
"623","18.9676387944519"
"652","2.90708711339826"
"653","24.1973021082365"
"682","3.96729306534884"
"683","9.21428423751756"
