"","slopeBase"
"2","3.8886018382223"
"14","5.68770265359873"
"15","6.47953912662425"
"16","11.0789381209882"
"17","9.01040007527612"
"28","5.58459089788787"
"29","5.58393294625457"
"30","7.68031958791416"
"41","11.1412142183061"
"42","9.7375841614108"
"43","8.43808178950694"
"44","9.76620199487803"
"45","5.97081250454863"
"46","4.46209249837843"
"57","6.07533030419819"
"58","5.97081250454863"
"59","11.4984145661701"
"60","10.1891382546412"
"61","22.6488957006513"
"129","5.53563372485176"
"141","5.98664784318144"
"142","2.44800321031058"
"154","4.58305698289602"
"155","4.42263461189024"
"166","13.5046942901931"
"167","17.5668682433159"
"168","13.8244566374737"
"179","16.4203186995364"
"180","12.4215483465159"
"181","14.8992315404962"
"182","15.8431420024314"
"194","7.49762211066129"
