"","slopeBase"
"151","3.44408392515527"
"152","7.94789227037127"
"153","5.57844708712621"
"227","9.53270808173282"
"228","7.22729540502568"
"302","12.7474403812022"
"303","19.5407405831448"
"304","17.4735003884803"
"373","42.588957843498"
"374","22.5542457651928"
"375","15.0639324539233"
"376","15.8401927724395"
"378","15.8409241588322"
"379","14.612806657283"
"448","43.7226099156898"
"449","38.8226553875235"
"450","27.4839370550311"
"451","25.6975593512747"
"452","18.0925381285313"
"453","12.1555361486797"
"454","14.5035097115243"
"455","17.2679780444552"
"522","18.0433677514737"
"523","22.0638832230412"
"524","26.1740434818851"
"525","36.9489952603176"
"530","22.0416053568701"
"531","20.5558483095524"
"596","13.076116066417"
"597","16.1215320154879"
"598","11.4162862626687"
"599","16.444472436904"
"600","12.1282003094665"
"672","28.7062228698508"
"673","15.1644075850221"
"674","6.91204778436548"
"675","11.0284215789644"
"680","27.2300792894469"
"681","21.9594119329032"
"682","18.9300329313398"
"684","21.408109356828"
"685","33.0733663564882"
"742","7.43695077813068"
"747","21.3953089544477"
"748","18.5827860108143"
"749","15.5114900590444"
"753","26.2566093288265"
"754","25.801372729125"
"757","21.3642109632414"
"759","15.1571493977983"
"761","11.0854721198517"
"762","7.89241966686027"
"814","22.7469399241235"
"815","12.5626597285962"
"819","7.38894138082058"
"820","3.30058768345217"
"822","14.5537010794216"
"823","13.6196699257953"
"824","13.5239143364327"
"830","10.1589853542232"
"836","6.43174274779041"
"891","39.280235346011"
"892","29.2257727601862"
"893","20.8193693259647"
"897","6.58550802215747"
"898","11.0707147265976"
"899","15.5547773971361"
"903","8.62458987167343"
"904","15.8327073965006"
"905","26.4714918773915"
"906","18.4421493247233"
"907","13.6987164524611"
"908","24.9492317012967"
"913","6.24887267711749"
"969","22.9359721930345"
"970","17.5864561321339"
"971","34.4842131027582"
"977","5.41621827055502"
"978","18.2439913711791"
"979","9.46292618016349"
"980","19.4904484374764"
"983","10.5592494733308"
"984","17.8444032491006"
"985","15.0910540476299"
"990","6.85875164400592"
"991","11.4242888083913"
"1048","25.2282334333459"
"1053","6.05347464739236"
"1054","20.8589846601701"
"1061","15.186991615861"
"1062","2.45960365407981"
"1063","5.61745797335241"
"1066","3.00903806596498"
"1067","2.61698353859752"
"1125","20.9437374167388"
"1126","14.8375660803623"
"1129","12.3759654641681"
"1130","16.9585917584095"
"1138","23.6177791942624"
"1140","16.6343207027971"
"1143","7.27103021582466"
"1144","2.89924940479845"
"1201","26.6447852511308"
"1202","9.18925620531776"
"1203","3.03558777668373"
"1205","6.28038833840414"
"1206","12.9548223312137"
"1215","33.1782896409244"
"1216","34.9876299570024"
"1217","21.4396568053379"
"1218","31.0721901489058"
"1219","7.92500979720095"
"1220","6.09456093219835"
"1221","8.87388252611362"
"1275","6.70836125791181"
"1276","11.3969005592388"
"1277","10.1821051898127"
"1278","10.8028342199369"
"1279","5.71566265604549"
"1283","6.68916687902225"
"1284","6.04248091254768"
"1293","32.366942636074"
"1294","10.704292126395"
"1295","20.2304564360059"
"1296","13.0351451792186"
"1297","7.98636914415949"
"1298","7.61832310332503"
"1352","5.93236942786114"
"1353","6.38038110146864"
"1358","7.33394238102758"
"1359","10.3788570479578"
"1361","8.23785304318981"
"1362","8.30642340857692"
"1371","6.3987520697995"
"1373","12.9847697798386"
"1374","7.40561970099005"
"1429","5.39973224226413"
"1430","6.44466985574052"
"1431","5.67780924291971"
"1432","15.2095301976327"
"1433","14.2710533202341"
"1434","8.81271694901846"
"1435","10.1120328993105"
"1436","3.08167548305514"
"1437","10.624050482961"
"1439","5.35749351413463"
"1440","8.93379244769435"
"1442","11.3627558166466"
"1443","9.45176499233845"
"1444","0.855120499027586"
"1445","3.02645078180221"
"1446","4.62078540448483"
"1447","3.45663320480684"
"1448","5.93101672606144"
"1508","4.98492245868583"
"1513","10.2456752803375"
"1514","15.8321896987825"
"1515","24.5069050910468"
