"","slopeBase"
"130","27.3633851762687"
"147","36.8130364646008"
"149","13.5183621355898"
"150","27.70571923616"
"166","27.0773780244924"
"167","27.6482127911201"
"168","27.4652581759393"
"169","23.8531445757253"
"170","28.2645684354323"
"173","9.50635922602111"
"174","19.6052044332592"
"188","25.4375779937514"
"189","21.044437826849"
"191","33.2308959843128"
"192","31.6768344250909"
"193","21.2924180121871"
"194","32.9376518216303"
"207","31.9894484510825"
"208","23.412890166735"
"209","19.538366397031"
"211","39.9109959350754"
"212","33.403268587424"
"213","27.871765723509"
"214","33.715664997942"
"228","17.8280838797785"
"229","17.7037575805117"
"230","33.7971272899535"
"232","29.1336335567585"
"233","33.4342249824667"
"234","32.068385180285"
"249","22.1689618349963"
"250","28.0267897096905"
"252","27.1616155634562"
"253","31.3921787670453"
"254","24.1575209641689"
"256","32.232354223059"
"257","29.0538164319588"
"267","21.8642233998483"
"268","22.4389624812068"
"269","31.4845697054422"
"270","15.0033426180945"
"272","34.6236446485209"
"273","33.2090925068257"
"276","29.1291858127471"
"277","20.9787507072795"
"287","22.9003397900395"
"288","21.9066901665114"
"289","16.9188149491082"
"290","2.47792300832217"
"292","38.8476709417577"
"293","21.7480610055906"
"294","25.5200890215967"
"295","24.7583142845907"
"296","31.0980235682996"
"297","16.1682407989664"
"298","22.6874612984823"
"299","37.2626310861209"
"307","20.465576871479"
"308","30.0053094063783"
"309","29.0462323300067"
"311","39.8378000523309"
"312","31.0369289311043"
"313","18.2303138194583"
"314","26.4152629656591"
"315","26.8930832366815"
"316","19.5412630468817"
"317","8.46712452121669"
"318","26.258719266681"
"319","34.9661355295125"
"327","28.3266081625112"
"328","23.9747204154335"
"329","31.6036126926607"
"331","28.156986636388"
"332","36.8700455779015"
"333","21.8067650921506"
"334","27.8271544445775"
"335","27.5809976119659"
"336","9.68673639413642"
"337","39.4796569018859"
"338","29.2603941049527"
"339","23.5939265644769"
"348","23.4274988359041"
"349","22.6644543328222"
"351","23.2687813419917"
"353","36.1945005958239"
"354","29.590556435454"
"356","26.0680998724407"
"357","32.5211707320051"
"358","24.8352503366019"
"368","23.4760281382981"
"369","25.3444007001213"
"371","22.1571870584093"
"374","18.4995891355531"
"375","15.1705080164135"
"376","30.6648407328206"
"377","29.7887003782774"
"389","18.9300306383447"
"390","22.3524995146977"
"391","19.8845522019736"
"393","15.2108686737426"
"394","19.0022046458411"
"395","20.5257174007102"
"396","35.681777249468"
"397","34.9968907908832"
"409","20.4560865598029"
"410","18.0946439798436"
"412","15.1179005160657"
"413","22.3095548011486"
"414","33.0442891174645"
"415","30.8881853718641"
"416","29.1581989231747"
"417","24.0010843182407"
"418","14.8932809352262"
"429","25.9814354353859"
"430","14.3991603129254"
"431","18.0745228184716"
"432","12.3307881778025"
"433","21.1271767191116"
"434","36.2326228704074"
"435","39.7682189077661"
"436","34.4876134872302"
"437","26.5309054079216"
"448","27.0630111025531"
"449","21.282667951884"
"452","11.7136032711651"
"453","19.357318037902"
"454","28.4047699642156"
"455","28.1197673969495"
"456","33.9736387690782"
"457","37.4638315686006"
"468","13.6031890271574"
"469","7.99844668763864"
"471","5.5518020798304"
"472","16.6076036862498"
"473","22.0810939112174"
"474","26.2963481200159"
"475","33.1897555000327"
"476","39.1959761861959"
"488","25.0796270135146"
"489","21.1660340910113"
"490","3.91117925301078"
"491","18.8443649737097"
"492","25.0111070769694"
"493","13.062460233701"
"494","33.0184703434053"
"495","35.5138991486822"
"496","33.1673719744987"
"497","28.9705972087973"
"508","14.1867508507184"
"509","3.74573833247775"
"510","9.11127288012688"
"513","38.2608625947322"
"514","43.5431241321866"
"515","50.1385739935938"
"528","2.60134325556461"
"529","6.99989968911664"
"530","7.3002016394516"
"534","43.1861924120787"
"535","44.2710774069074"
