"grid ID","0.05","0.25","0.5","0.75","0.95","length","n"
"13",NA,NA,NA,NA,NA,NA,"0"
"24","3.16686248779297","5.95722508430481","8.39015865325928","12.9110670089722","21.0309480667114","1573.56942599196","31779"
"25","1.42776430845261","2.86080241203308","4.16200065612793","6.23907518386841","11.4439546585083","875.873454196744","22590"
"26","2.55525151491165","7.8290491104126","11.8741979598999","17.9941244125366","29.011038017273","264.148498046784","10914"
"27","1.42896926403046","4.79955387115479","8.87399959564209","12.7591981887817","22.1003944396973","1500.02630287652","31837"
"37","5.46789484024048","6.9982168674469","8.69227361679077","12.7409319877625","18.9635193824768",NA,"1252"
"38","2.7631413936615","6.7536301612854","11.8463506698608","18.1084098815918","29.7671131134033","1502.43934137158","30833"
"39","1.8300724029541","4.31092596054077","7.96844482421875","15.3799166679382","28.1640272140503","1743.85790172122","23551"
"40","3.15816161632538","7.66429948806763","11.0715131759644","16.4489850997925","27.147327041626","2069.84071896603","39570"
"41","1.48689830303192","4.37477397918701","7.58732128143311","12.4625883102417","23.1550320625305","1513.35701448345","30722"
"49","0","3.76893997192383","9.72280931472778","14.9124848842621","26.8701261520385","273.756659276074","13850"
"50","3.89020817279816","6.56712865829468","10.2274141311646","15.4209179878235","25.0961268424988","2017.93615430904","37214"
"51","2.3290057182312","5.9153094291687","9.60124492645264","16.0531816482544","24.2295362472534","1040.19146386463","24399"
"52","4.00346398353577","7.6034255027771","11.8126735687256","16.0319213867188","21.2506549835205","437.826181035803","5797"
"55","3.59933757781982","5.97287344932556","8.84927940368652","12.7032833099365","21.7932577133179","934.370682566634","10691"
"63","2.28068528175354","4.02817153930664","5.50071477890015","6.76181554794312","10.3963306427002","174.53278304852","1433"
"64","4.92093870639801","7.0648717880249","9.69813919067383","14.1542086601257","17.2824500083923","256.807266442692","1492"
"86","5.88955450057983","16.4694199562073","27.2272138595581","36.4365587234497","51.7075958251953","1528.87360587096","35696"
"87","0","0","11.5641422271729","18.1596775054932","27.8935813903809","220.23118133318","5961"
"100","1.22631788253784","4.06372213363647","6.90476560592651","9.69457340240479","18.6675819396972","1731.98661333025","34845"
"114","1.38166701793671","2.81378507614136","3.94645476341248","5.76181745529175","9.5675006866455","924.263218354047","24697"
"115","1.45875811576843","3.13944578170776","5.05176591873169","7.20514059066772","10.6026926040649","941.425899278652","15025"
"128","2.84905290603638","5.16035985946655","7.59769248962402","10.9164819717407","18.0927791595459","245.22837274899","9801"
"129","1.23900902271271","3.55405735969543","6.11985731124878","8.72299289703369","17.7823001861572","2119.69569951435","50593"
"130","2.54433727264404","4.07069754600525","5.36542153358459","7.6239572763443","12.9102337360382","344.45071624371","3518"
"TOTAL","1.62171876430511","4.74511861801147","8.25484943389893","14.0520725250244","28.6949244499207",NA,"498060"
