"grid ID","TRI","n"
"18","0.159418321953238","4833"
"19","0.131399591512314","356758"
"20","0.810422887723341","5066745"
"21","0.485076862589548","12237811"
"30","0.399546669111869","2208534"
"31","0.336032442577698","7523966"
"32","0.325246192013243","21448842"
"33","0.170207317494789","23903820"
"40","0.268554070957321","118795"
"41","0.171056432151363","12807"
"42","0.528331047637332","64133"
"43","0.59440843479819","3334801"
"44","0.382797411213684","8269412"
"45","0.370017299324862","21307147"
"52","0.634737809360248","2533141"
"53","0.429171834893808","8466974"
"54","0.322675079183648","2457144"
"55","0.56711258341307","7677922"
"56","0.832349318008185","569380"
"57","0.527328234174683","11473228"
"58","0.704135025463735","12398969"
"59","0.625526493321006","24809170"
"62","0.192678304590575","4209140"
"63","0.285273742827802","2117857"
"64","0.29167113789733","10217740"
"65","0.844408718704854","17398084"
"66","0.414797143010117","14001454"
"67","0.498649663076918","18160937"
"68","0.525858159673314","14631579"
"69","0.417729818861438","4913709"
"70","0.784762916825959","3915663"
"71","0.78483834874926","9488854"
"72","0.593467317767923","1070690"
"74","0.24762006619655","8409025"
"75","0.581893536060179","18875482"
"76","0.416942139102382","9944027"
"77","0.979182444008753","2734423"
"78","0.585633183014365","15034568"
"79","0.591281456159986","10966756"
"80","0.367628722447837","22401038"
"81","0.339709640076965","8867012"
"82","0.464692244224567","10108055"
"83","0.657168071465522","6253429"
"91","0.57837235798188","2907129"
"95","0.780945830130427","3693740"
"TOTAL","0.487836323948082","396564723"
