"","slopeBase"
"79","14.1743696933777"
"80","15.1449697183701"
"96","10.3147028332983"
"97","20.6149966011432"
"125","22.7259606201272"
"126","34.9639422799281"
"127","33.66204225574"
"141","24.2513629242082"
"142","24.7718511843568"
"143","24.0962848433137"
"144","29.4531270241616"
"145","25.7522994179412"
"146","19.2385294383864"
"147","9.92807152516657"
"148","19.8151169789126"
"162","25.7522994179412"
"163","23.4290035258175"
"164","9.78331912414319"
"175","9.37909499191294"
"208","22.323817179376"
"225","19.2066469982232"
"262","11.8173214583372"
"280","4.85779634448294"
"328","18.2312632856722"
"329","10.4351570583815"
"345","18.2312632856722"
"346","11.2937777681521"
"347","12.7212653145044"
"474","20.0029230339872"
"491","25.9198698122688"
"644","13.5111641199151"
"660","16.8704799947344"
"661","18.3950448030275"
"672","14.4375176046034"
"677","17.8232513215527"
"689","19.6823537070746"
"709","18.8913236656816"
"725","10.9772542107584"
"726","16.1323922955525"
"740","1.73170551463744"
"741","5.79425923413701"
"742","9.66453236291318"
