"","slopeBase"
"113","10.2235556910109"
"114","14.5749838651724"
"115","13.8123415569077"
"116","16.4409629731962"
"117","12.1620817306626"
"118","16.7717155879796"
"119","28.3017817098542"
"120","35.7055445120042"
"175","2.00696256407153"
"216","11.6615614846413"
"236","16.3765506267727"
"237","20.0092318569258"
"242","7.42772003871926"
"243","9.33529920165924"
"244","12.4403357678163"
"278","28.5633911334631"
"279","24.9299723114987"
"295","25.6186087161829"
"296","24.3363518829064"
"297","18.3116003007899"
"298","29.8791939781534"
"301","18.2931548935421"
"302","25.4286744522991"
"303","30.101387225293"
"304","34.9701943240828"
"329","21.0717841036311"
"330","16.8467534798095"
"331","19.2821062046952"
"332","16.1911122452122"
"333","15.5517898199774"
"334","7.07662537078852"
"338","38.4324416636458"
"339","20.8555368214124"
"340","23.1236803278981"
"341","24.8127616828331"
"356","20.8335392732909"
"357","26.7380985805525"
"358","32.3042427284492"
"362","34.2166920444878"
"363","26.204792035278"
"364","39.3446387601567"
"365","25.5145384641259"
"366","26.5230891330331"
"390","37.1776377810042"
"391","16.7129205858577"
"392","11.260519085719"
"393","23.4692175812157"
"394","14.4869617118256"
"395","15.0652273758451"
"400","25.942852299863"
"401","25.4171705613292"
"402","11.9565083997107"
"403","5.83510893810837"
"417","24.3755244852915"
"418","27.3357526561492"
"423","35.6986985185009"
"424","42.9832271915279"
"426","33.4852126010412"
"427","15.525320772058"
"428","13.6136136769164"
"452","39.1670075903125"
"453","22.9323163598104"
"454","18.6715395122642"
"455","15.9157820703625"
"456","24.5999044962929"
"457","11.0218407803993"
"458","4.20903520344178"
"459","13.3536462258031"
"460","27.9720665477675"
"461","19.0453478256058"
"462","21.8347791359413"
"465","14.1301338137545"
"466","14.3202742947218"
"467","10.1645505295639"
"479","30.66435596506"
"483","39.2277400031789"
"484","35.0667678613442"
"485","19.6025613372804"
"487","18.9161771654033"
"488","21.8365333907767"
"489","28.8310054863128"
"490","15.9394245389196"
"491","18.2627621724257"
"492","17.4586861645808"
"493","28.805912526866"
"502","38.8355455068064"
"518","18.7216896352163"
"519","9.97991810960949"
"520","11.1248452452102"
"521","6.5222001871328"
"523","17.5241223001232"
"524","11.5064032381989"
"525","22.8322828191731"
"526","17.5105568686195"
"527","15.6260100664953"
"528","8.60209025171689"
"529","8.12298683713539"
"540","20.8480827122933"
"541","24.5076739501241"
"544","38.2578972776546"
"545","47.0855841592117"
"547","18.5442996343396"
"549","16.699875163459"
"550","28.1981426459646"
"551","20.5470313484759"
"552","16.2035548078928"
"553","21.4239244958062"
"554","8.85558401463957"
"555","13.7518879571007"
"556","25.0384466148879"
"557","24.5818942680896"
"563","32.5377685593649"
"564","29.4548099377213"
"565","16.0661158424874"
"566","0.890231104868625"
"569","27.1145830802068"
"570","20.0689162330519"
"578","19.586875716489"
"579","19.8858575143899"
"580","14.2865210903644"
"582","17.8782002681039"
"584","25.5792540164251"
"585","25.704367252779"
"587","34.1839652163487"
"588","25.4144377212428"
"589","30.2468934857437"
"590","42.0375631806762"
"591","33.244510050036"
"602","20.0930785037586"
"606","24.943986144846"
"608","27.4693503793054"
"609","23.2090375999945"
"610","25.3291401190442"
"611","38.6800141898619"
"613","16.643713873267"
"614","18.4863764348343"
"615","23.1918548318094"
"616","27.0729287321298"
"617","25.5895204511449"
"618","26.6257269527093"
"619","22.8398510510501"
"626","20.4308825220378"
"627","13.9988988956957"
"631","21.1329274063366"
"632","9.07948601244753"
"633","21.1403465387102"
"640","10.7584376988705"
"642","7.83243638149617"
"643","17.9805540764744"
"644","13.5981074502994"
"646","22.6942334124585"
"650","26.0017885016845"
"651","28.3745389360526"
"652","25.3609472206921"
"663","22.4924132064798"
"664","18.6372153763313"
"668","28.7256938545983"
"670","18.6007743586441"
"671","24.5820339869675"
"672","24.447380438098"
"673","24.6975002702618"
"674","15.3091777449635"
"675","24.4621258944097"
"676","21.8291031800915"
"677","26.9560350914237"
"678","16.7082351044634"
"679","24.3317570506772"
