"","slopeBase"
"13","1.69161346299489"
"24","3.42760154252918"
"25","3.63028352822522"
"26","4.15331088390028"
"27","1.54560282840292"
"37","5.20236385862727"
"38","8.62276860588834"
"39","5.18329407003355"
"40","3.8724141274953"
"46","16.7719427520382"
"47","12.0801106227077"
"48","19.972597339262"
"49","15.5573927967042"
"50","9.52600550071816"
"51","3.22948817866402"
"52","7.92031452218211"
"59","31.6453898008391"
"60","14.1860824690727"
"61","24.8093409917475"
"62","25.0012007589538"
"63","19.6683919258074"
"64","10.9837523539743"
"65","4.2704299005684"
"66","10.2902574748619"
"67","16.1288047708788"
"72","17.8392486169088"
"73","25.7062219208096"
"74","17.508105684671"
"76","33.9019413675661"
"77","18.7510594738535"
"80","22.1937318470728"
"81","12.0792096784795"
"87","21.4231102694071"
"88","24.9862837952246"
"94","17.171647682144"
"95","10.8950989843063"
"101","21.3039129172397"
"102","26.0814973555579"
"114","12.8001173414673"
"115","18.5164605727204"
"128","14.0440954300124"
"142","12.5459259666841"
