"","slopeBase"
"65","31.6085268278855"
"66","31.0550603018637"
"84","41.7799876616245"
"85","31.8487163779895"
"86","35.3927887807397"
"91","23.3666971299242"
"104","24.7769138941299"
"105","31.3489113878186"
"106","25.8304133817022"
"107","40.6619824946256"
"111","27.9029173699172"
"112","21.1536458581765"
"113","13.2961526947247"
"114","21.3168027260045"
"123","10.2767955003507"
"124","28.7167536581477"
"125","23.2633629301682"
"126","18.7913857594229"
"127","30.8219808932222"
"128","26.0365636325347"
"129","26.4729124106896"
"130","24.1969829660515"
"131","26.9914567082329"
"132","15.6330666046567"
"133","16.4091764158159"
"134","22.8457811349824"
"143","26.568746460484"
"144","21.5616128566672"
"145","22.742905689104"
"146","32.3098995862033"
"147","34.7455412548091"
"148","26.8626258662249"
"149","25.2828624055052"
"150","23.6276176422628"
"151","26.2860633173231"
"152","28.3399773965051"
"153","19.4813974043266"
"154","21.6863674948979"
"155","23.6404287366771"
"156","14.3370309357936"
"157","24.916994407861"
"163","35.1459955207032"
"164","12.3884749618952"
"165","29.280694796561"
"166","8.51917536616867"
"167","34.256016537164"
"168","25.7816667498635"
"169","20.9762709395457"
"170","25.5118793153372"
"171","21.9264313069266"
"172","29.9573143549451"
"173","27.4198371575273"
"174","20.2778448617758"
"175","27.8520744115202"
"176","23.9840975139063"
"177","25.9790507705161"
"183","29.5820855918395"
"184","22.7934728298641"
"185","19.7187863005576"
"186","21.9695215604895"
"187","37.2828864831026"
"188","32.4516064626316"
"189","24.4480199444039"
"190","27.7141971014726"
"191","36.8977077188669"
"192","28.4977167725121"
"193","25.737594590963"
"194","12.4464088747066"
"195","28.9466277877073"
"196","30.3136502488643"
"197","22.9328815185716"
"202","23.3798411827395"
"203","23.3168859528665"
"204","32.5662740547118"
"205","18.5472208782682"
"206","7.17986756903167"
"207","25.9978196991618"
"208","33.6426068423735"
"209","36.692674466965"
"210","34.9413697050737"
"211","35.3809013440749"
"212","27.4026238316122"
"213","20.4351885418874"
"214","16.8905710952995"
"218","30.0019551287679"
"219","25.4439316312348"
"220","15.2638001894434"
"222","22.8600854753747"
"223","31.5900791391699"
"224","28.9801614364583"
"225","23.0917368732671"
"226","14.8282178807679"
"227","26.9781116059229"
"228","36.8838281104658"
"229","45.4045501485465"
"230","15.0909508408896"
"231","22.2113212474919"
"232","16.9786298994357"
"233","35.3730962204175"
"234","23.5507362770464"
"237","21.1891281235219"
"238","25.5574120247165"
"239","21.8789318812188"
"242","29.2861801565266"
"243","30.4834781787948"
"244","30.1702437456181"
"245","13.2626265202027"
"247","17.438450938976"
"248","21.2955411639533"
"249","21.520143266023"
"250","9.05483975773475"
"251","11.7723425397154"
"253","11.6920058941647"
"255","28.5868369054909"
"256","23.4637672850294"
"257","21.5666534716912"
"258","23.8816459609822"
"259","27.061140667533"
"262","29.0347805056791"
"263","17.0607961678375"
"264","23.9911688682964"
"265","21.1539423776709"
"266","24.6678494929685"
"267","16.9965178242769"
"268","7.6458625307554"
"269","19.3628012760701"
"270","6.08340780787268"
"271","8.31862564070213"
"272","15.8602792254768"
"273","16.6781983044782"
"274","4.19129800575515"
"275","26.500954528649"
"276","23.8840980728562"
"277","28.1614054849795"
"278","29.7093768825127"
"279","26.5384021925212"
"282","45.9560581269949"
"283","28.5179912582589"
"284","23.2396730375372"
"285","27.9892873088096"
"286","21.2125436050611"
"287","18.6763361194859"
"288","17.311127913141"
"294","9.66735632938222"
"295","16.7021629690766"
"296","20.8188195792643"
"297","27.6768087074561"
"298","34.8037393157933"
"299","42.7453368783459"
"302","22.4079760490649"
"303","34.5423137438288"
"304","34.201734801797"
"305","29.4812668185349"
"306","31.5025598421679"
"307","22.2481251389378"
"308","13.2104453205841"
"311","38.8287436004365"
"312","45.143418122062"
"313","40.1961906837138"
"314","37.5266110656428"
"315","37.3910450412808"
"316","38.1384181255328"
"317","43.5783021992166"
"318","49.2240141166057"
"319","16.747825650305"
"322","21.4580084841555"
"323","30.0916638604569"
"324","35.1490374694548"
"325","23.5903041003361"
"326","31.7324747220823"
"328","4.61572424562959"
"331","33.0998051063584"
"332","33.5728801728744"
"333","19.4472630142861"
"334","42.3526778459999"
"335","28.6367514613325"
"336","39.4076511236868"
"337","37.8951553564814"
"343","32.3051454877895"
"344","29.9173839663373"
"345","37.1520857210222"
"346","20.1160479304652"
"347","18.7864506586707"
"348","11.3175402815741"
"351","36.2479281508534"
"352","18.8444581796067"
"355","34.2052145810474"
"356","41.0086492318565"
"357","33.6415322055405"
"364","35.602027212819"
"366","21.9684115003495"
"367","15.910607938479"
"368","12.9933808751722"
"371","38.1205797214889"
"372","20.0715191219597"
"373","21.7557200050671"
"374","23.0168170052918"
"375","24.794414158435"
"376","32.6520890237608"
"377","26.5074961789088"
"387","14.6670232318498"
"388","15.7323225269065"
"391","17.1630448424832"
"392","16.6864830330948"
"393","26.0697220632141"
"394","25.7659818175295"
"395","9.46226538456879"
"396","19.465782900393"
"397","34.7788983222785"
"398","18.5321753628932"
"407","10.8556885803055"
"410","26.1355743016428"
"411","37.9884461532408"
"412","31.2862111278121"
"413","15.5448484329045"
"414","37.3614149601719"
