"","slopeBase"
"18","11.9197603197415"
"19","20.9338547565322"
"20","17.5182493720887"
"21","16.840831114517"
"27","8.55942172780196"
"29","17.3872402055888"
"31","16.8994989497348"
"32","21.4626368966454"
"37","7.91409020088923"
"38","5.56476626693854"
"48","8.71143302470489"
"49","5.79879644287034"
"50","15.7247692452918"
"61","8.24305912202339"
"81","24.0119718508233"
"82","26.4439764277477"
"92","20.2590780999508"
"93","28.7676035782367"
"102","20.0014958015051"
"103","16.828292353655"
"112","32.453895034281"
"113","27.9615332213025"
"122","40.3173416702471"
"123","30.9324242872762"
"133","25.2366688811638"
"134","13.618856808314"
"144","14.9655964107464"
"169","13.1761748599436"
"170","19.7290504471893"
"171","32.7415923237039"
"178","26.8695942179446"
"179","25.2713558538746"
"180","18.6895494022269"
"182","20.8266221113005"
"188","26.6712445065427"
"189","22.1255021964138"
"190","17.9066068688272"
"193","13.5701502238114"
"194","15.9413452766392"
"205","15.2449548482682"
"206","20.7217880878085"
"217","9.24256589078596"
"218","13.8183061338073"
"228","7.98202906495731"
